"...1","year","period","predicted_abundance","arma","aicc","Lo 50","Hi 50","Lo 95","Hi 95","model","abundance","error","APE","MAPE","rank"
215,2012,1,85030.7178720977,"0000210",20.7994506544558,66516.6055569382,108698.014898779,41656.1921578774,173568.984760817,"3",183.1,-84847.6178720977,463.394963801735,7547.35794896765,2
229,2013,1,58835.9114537554,"0000210",21.448382191316,46059.7373675494,75155.9751409481,28886.1624568159,119838.157171942,"3",335.1,-58500.8114537554,174.577175332007,10258.9280441367,2
243,2014,1,67468.6007954599,"0000210",21.3084993874568,53074.5847281795,85766.325193314,33594.530535718,135498.607085978,"3",1316.5,-66152.1007954599,50.2484624348347,11009.8786426735,2
257,2015,1,79170.9459990466,"0000210",21.1737381460998,62551.8000730434,100205.568553816,39922.8994086265,157003.594008244,"3",268.9,-78902.0459990466,293.425236143721,11134.9021791983,2
271,2016,1,128014.380419998,"0000210",22.6750551545769,100762.499771334,162636.711390699,63850.9578705609,256655.21929267,"3",247.7,-127766.680419998,515.812193863537,12939.4285396561,2
285,2017,1,88950.7887894275,"0000210",23.3334432568057,70042.1169681989,112964.0731712,44417.1184022331,178134.987385034,"3",291.8,-88658.9887894275,303.83477995006,16307.3652008376,4
299,2018,1,69199.9948306697,"0000210",23.5973040939646,54604.7024537701,87696.463296708,34766.7505367547,137736.176393657,"3",182.8,-69017.1948306697,377.555770408478,18165.7305442657,6
313,2019,1,42594.1936513028,"0000210",25.3266715302747,33466.7966488895,54210.9049706401,21135.0300796846,85841.6253000082,"3",340.7,-42253.4936513028,124.019646760501,20545.6553672805,10
327,2020,1,35690.4817033346,"0000210",25.3978876588983,28122.7708364215,45294.6294525986,17857.2183389969,71333.0855923003,"3",387.7,-35302.7817033346,91.0569556444019,20554.1885013094,9
341,2021,1,62297.8150035005,"0000210",27.9003783753962,48740.9946077364,79625.3294674122,30533.192500751,127108.154645634,"3",841.3,-61456.5150035005,73.0494651176756,20201.3251841733,12
355,2022,1,54268.3574330425,"0000210",27.7166676719506,42623.2619459905,69095.0078436569,26898.2081407813,109488.877588666,"3",696,-53572.3574330425,76.9717779210381,19914.8548879872,12
369,2023,1,72778.9686797214,"0000210",28.5225125130558,57154.0218149176,92675.5128315638,36058.7621477436,146892.959341793,"3",NA,NA,NA,19423.4069154144,11
119,2005,1,77331.0925129226,"0000210",15.5268920937994,60474.6019670054,98886.1054844957,37849.8822519826,157995.151198362,"4",454,-76877.0925129226,169.3328028919,NA,4
132,2006,1,62658.0363195419,"0000210",15.5064708739213,49298.980805497,79637.1334918809,31215.1374456943,125773.257357948,"4",523.4,-62134.6363195419,118.713481695724,NA,4
146,2007,1,76232.3827126639,"0000210",15.4765004529595,60302.1488493235,96370.9633063143,38574.8981721091,150651.756697361,"4",545.3,-75687.0827126639,138.798978016989,NA,4
160,2008,1,32757.9439832539,"0000210",19.3099290409005,25325.1135666491,42372.2835905918,15507.5778609016,69197.3242781845,"4",576.9,-32181.0439832539,55.7827075459419,NA,10
174,2009,1,53634.1744463122,"0000210",20.7670260304995,41285.0578727744,69677.1378497799,25072.397499108,114732.732226337,"4",1051,-52583.1744463122,50.0315646492029,NA,10
188,2010,1,55964.4881626799,"0000210",20.5769294819811,43397.5778183891,72170.4780026592,26728.2377321555,117180.338138895,"4",546.5,-55417.9881626799,101.405284835645,NA,10
202,2011,1,74271.0756016894,"0000210",20.7541874980364,57836.1550811763,95376.1995984965,35907.5477041558,153622.094064459,"4",454.2,-73816.8756016894,162.520642011646,NA,10
216,2012,1,73880.9812237103,"0000210",20.5445437897672,57880.4847040307,94304.6592385934,36350.5878332551,150159.865684061,"4",183.1,-73697.8812237103,402.500716677828,NA,10
230,2013,1,61756.9464450167,"0000210",20.6425655551327,48561.7312001636,78537.5714570862,30714.2309798108,124174.374957317,"4",335.1,-61421.8464450167,183.294080707301,NA,10
244,2014,1,64197.1223199163,"0000210",20.3834394414985,50742.8928164773,81218.6748805152,32412.4134099238,127150.991875739,"4",1316.5,-62880.6223199163,47.7634806835673,NA,10
258,2015,1,81410.3295340499,"0000210",20.361281690788,64575.9558567433,102633.273745812,41526.5754214026,159600.007647795,"4",268.9,-81141.4295340499,301.753177887876,NA,10
272,2016,1,147807.780777219,"0000210",21.6978484749461,116882.497917259,186915.410327319,74722.7002590438,292376.212082115,"4",247.7,-147560.080777219,595.720955903185,NA,13
286,2017,1,100175.585883991,"0000210",23.0774781269448,78973.4260973522,127069.933560061,50193.0248091037,199931.126792359,"4",291.8,-99883.785883991,342.302213447536,NA,13
300,2018,1,69196.2169265771,"0000210",23.805326779307,54551.8239236004,87771.8853847242,34672.6151312777,138095.047599413,"4",182.8,-69013.4169265771,377.535103537074,NA,13
